xname,yname
6.244,4.747
5.593,4.051
4.880,3.223
4.204,2.461
3.604,1.780
3.103,1.238
2.678,0.785
2.352,0.403
2.065,0.099
1.864,-0.112
1.564,-0.302
1.289,-0.360
1.026,-0.382
0.738,-0.399
0.450,-0.441
0.213,-0.498
-0.013,-0.499
-0.288,-0.509
-0.526,-0.523
-0.726,-0.540
-0.901,-0.590
-1.114,-0.669
-1.339,-0.768
-1.552,-0.917
-1.789,-1.081
-1.952,-1.279
-2.140,-1.406
-2.340,-1.614
-2.628,-1.834
-2.915,-2.096
-3.303,-2.495
-3.666,-2.685
-3.991,-2.927
-4.329,-3.206
-4.680,-3.514
-5.043,-3.859
-5.405,-4.099
-5.743,-4.395
-6.069,-4.688
-6.294,-5.242
-6.431,-5.409
-6.469,-5.426
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
